year,distributor_id,distributor,segment,company,revenue,new_customers,repeat_customers,requests_for_quotes,months_purchased,contract_renewals,customer_retention,order_value,number_orders,employees
2023,6582909507797,David Perez,Segment 3,Martinez PLC,4819646.876546316,439.2827433918999,53.3,15.0,8.522271810699985,5.0,11793.0,268400.8571590765,54192.0,9445.0
2022,5763623041199,Melissa Boyd,Segment 5,Jackson PLC,14488037.517969549,93.40822391889256,671.2948678210432,271.0,5.654480696717506,467.0,625.0,1907274.5604150733,38748.0,12316.0
2022,6996415992525,Amber Dickerson,Segment 4,"Galvan, Clark and Boyer",9299073.890175257,157.31993399897692,131.0515884956106,349.0,5.582041069764028,850.0,5487.0,2232014.89264627,1757.0,8988.0
2023,7358573799900,Joyce Fisher,Segment 5,Brown-Rosario,4788352.356089866,0.6,1688.776959950536,6.0,8.476209956899522,219.0,54.0,2546776.62686809,26809.0,509.0
2022,4420745174440,Jessica Walker,Segment 6,Park-Collins,646463.27849532,0.6,53.3,313.0,6.923730914676323,5.0,54.0,160282.6,1757.0,509.0
2022,9695026501610,Theresa Colon,Segment 5,Little PLC,3598890.523670011,20.753066070251347,53.3,10844.0,6.357842241567608,287.0,54.0,160282.6,1757.0,509.0
2023,2716064050377,Emily Vance,Segment 3,"Rhodes, Perkins and Peters",6823070.671353025,77.84845386236647,951.6271869224174,3401.0,5.89467104968191,3568.0,1182.0,1224209.6568229191,1757.0,41075.0
2022,7820631157859,Karen Holmes,Segment 3,Moreno-Carroll,2230917.6022803467,121.70421116905872,53.3,6.0,6.257599654353622,19.0,54.0,1006852.5105614013,23740.0,7853.0
2023,4731787191556,Alicia Cook,Segment 4,Brooks-Mullins,2267324.7616999457,0.6,9463.74246453656,948.0,8.962240402769035,592.0,812.0,1300262.6369575595,18388.0,8699.0
2022,1391471880239,Brandon Tate,Segment 2,Nelson-Marshall,992338.670146524,0.6,53.3,453.0,8.664448357258529,38.0,54.0,399096.5114374935,1757.0,509.0
2022,8757883518826,Vincent Reynolds,Segment 5,Contreras-Barker,2663474.441947909,0.6,53.3,6.0,6.235751682358488,5.0,54.0,17077251.500148516,1757.0,6758.0
2022,6885248337064,Richard Mccoy,Segment 5,Montes and Sons,646463.27849532,0.6,1351.9908590727716,197.0,8.097292993177696,5.0,1734.0,2739998.8751627714,16001.0,509.0
2023,8593996573662,Andrew Smith,Segment 5,Madden-Williams,21028832.4899809,23.147937086392936,53.3,6.0,6.14527280918853,661.0,6351.0,160282.6,1757.0,30061.0
2022,3088196354845,Tyler Williams,Segment 2,"Frazier, Miller and Johnson",2042747.871169764,0.6,421.0419368198215,978.0,8.962240402769035,92.0,2145.0,2086896.967233424,1757.0,15697.0
2022,409105678297,Tiffany Burke,Segment 2,Walsh-Coleman,12743541.629310235,20.71314320825866,469.23791893891087,1027.0,6.366306502040145,156.0,54.0,1051653.23972332,23383.0,80359.0
2022,6902140241814,William Ross,Segment 5,Higgins LLC,1308168.3769728928,11.177578032631189,1101.0562582372395,1054.0,5.498236005427698,5.0,1130.0,706988.7049406623,1757.0,8787.0
2022,9687568186479,Michael Bryant,Segment 4,Stark Group,646463.27849532,0.6,372.7341101282143,1018.0,6.159653419668935,104.0,54.0,160282.6,1757.0,509.0
2022,9279028755679,Richard French,Segment 4,"Rodriguez, Lewis and Merritt",22721001.42722681,0.6,53.3,6.0,8.962240402769035,192.0,1764.0,2012464.9137469348,1757.0,34546.0
2023,3136922806400,Kathleen Cummings,Segment 3,"Hudson, Gonzalez and Mcconnell",3366335.231941554,4.974603569973073,176.24993604854785,6.0,5.903165781062092,234.0,1852.0,160282.6,11339.0,12068.0
2022,1563120734310,Kevin Lawson,Segment 2,Nichols PLC,6831899.024448933,19.59045378103409,1090.5052504052717,11762.0,6.176899236327764,5.0,1216.0,3500852.0335157365,1757.0,509.0
2023,7269623877793,James Diaz MD,Segment 6,"Fisher, Reyes and Scott",4007643.6794354655,33.40370169887277,818.3138349723142,2126.0,6.870717269335779,12.0,1524.0,475011.9578050999,1757.0,13412.0
2022,2700623527325,Rebecca Wilson,Segment 3,Harrison and Sons,8978847.293492742,0.6,53.3,3680.0,6.82004987059271,982.0,20416.0,160282.6,1757.0,10498.0
2022,3683691823935,Ashley Rubio,Segment 3,Brown and Sons,2512873.046806248,0.6,53.3,6.0,7.881948453923564,15.0,54.0,160282.6,1757.0,7659.0
2023,4135293633874,Elizabeth Stone,Segment 4,"Harrison, Powell and Bass",8625581.738014847,73.91140004815149,557.1064504424376,7843.0,6.035610776327848,2874.0,54.0,160282.6,37163.0,509.0
2022,3604570217584,Jennifer Thomas,Segment 4,Moore Group,1985874.127272452,0.6,296.2993406522853,45.0,5.586398117613049,5.0,17315.0,3493390.9471704885,1757.0,509.0
2022,2610180479213,Stephanie Mueller,Segment 5,"Parker, Holt and Smith",1573223.4378055036,0.6,2347.776704990853,212.0,5.513924734544664,5.0,787.0,3268440.213973781,1757.0,23946.0
2022,7888191097619,Jordan Lee,Segment 5,Scott and Sons,10757117.269654516,61.70966958907983,998.1417409654248,6.0,6.582374816243813,348.0,20416.0,2894641.1316396887,82042.0,15372.0
2022,1666864537794,Daniel Torres,Segment 5,Johnson Ltd,7004417.057680801,6.475283481258618,1275.159290413395,962.0,6.000591982477829,122.0,20416.0,7123711.539196083,149922.0,17286.0
2022,641809061498,Elaine Rios,Segment 2,Vargas Group,646463.27849532,74.59822461999647,296.5202298267026,1006.0,6.347024056582278,5.0,6325.0,160282.6,1757.0,12955.0
2022,3024146005672,Micheal White,Segment 6,"Smith, Perez and Ramirez",646463.27849532,0.6,53.3,71.0,8.614798614893488,5.0,793.0,2430160.101075956,1757.0,8205.0
2022,1933143754730,Paul Cline,Segment 3,"Rhodes, Turner and Arias",14180267.976017196,73.58626077153923,53.3,2312.0,6.50489556828155,575.0,6242.0,160282.6,1757.0,12851.0
