distributor_id,distributor,segment,company,new_customers_impact,repeat_customers_impact,requests_for_quotes_impact,months_purchased_impact,contract_renewals_impact,customer_retention_impact,order_value_impact,number_orders_impact,employees_impact
6582909507797,David Perez,Segment 3,Martinez PLC,-919802.25,813554.9,160494.94,453479.22,3741291.5,-1134909.8,-52891.54,-1101701.5,1087047.0
5763623041199,Melissa Boyd,Segment 5,Jackson PLC,-2651549.2,-425577.7,371449.44,645006.75,-1437731.0,1014437.75,-829027.0,2820404.0,-349173.38
6996415992525,Amber Dickerson,Segment 4,"Galvan, Clark and Boyer",24137.125,332803.34,801849.06,-1212662.2,3077034.0,161856.92,-43031.688,-63762.656,13793.0625
7358573799900,Joyce Fisher,Segment 5,Brown-Rosario,1662004.8,18422.61,-2200456.5,-428078.53,-68578.1,-289502.53,-46474.17,1418533.5,-904410.44
4420745174440,Jessica Walker,Segment 6,Park-Collins,410800.25,188908.83,-1007504.75,22984.742,-795905.3,330387.25,-174439.88,-804346.3,-574069.1
9695026501610,Theresa Colon,Segment 5,Little PLC,-238297.12,-397149.25,-235290.4,88867.72,-81905.5,382851.72,-4360128.5,364081.84,234294.81
2716064050377,Emily Vance,Segment 3,"Rhodes, Perkins and Peters",-528088.56,-484627.56,774639.56,-570077.9,-1718394.0,-1462483.9,2294447.8,-68622.56,-1045259.6
7820631157859,Karen Holmes,Segment 3,Moreno-Carroll,-103951.25,-293943.66,-84971.66,317166.03,-1117271.6,-273596.97,-159437.1,-1253241.0,-348665.56
4731787191556,Alicia Cook,Segment 4,Brooks-Mullins,-259014.5,521476.88,-592165.56,-763380.75,345609.44,29151.078,1748455.2,90142.625,2892045.5
1391471880239,Brandon Tate,Segment 2,Nelson-Marshall,319165.12,-94189.99,503072.94,-226662.78,-1601585.2,-123524.375,1864274.5,-427864.88,-1662263.4
8757883518826,Vincent Reynolds,Segment 5,Contreras-Barker,-343145.88,465644.5,1696878.2,-101852.31,4957689.0,-75040.81,-1125195.0,-89762.94,-496415.4
6885248337064,Richard Mccoy,Segment 5,Montes and Sons,1487463.8,301920.47,953769.25,415126.8,543955.3,-41618.734,317818.12,1718070.6,-368127.4
8593996573662,Andrew Smith,Segment 5,Madden-Williams,252419.38,522910.6,-305169.0,-579697.8,-173884.0,-760551.2,-389410.06,-63086.062,1925231.5
3088196354845,Tyler Williams,Segment 2,"Frazier, Miller and Johnson",-3328310.5,-124550.5,373795.0,409035.22,-1450510.8,965879.25,2330573.0,-2830573.0,-1924524.2
