year,distributor_id,distributor,segment,company,revenue,new_customers,repeat_customers,requests_for_quotes,months_purchased,contract_renewals,customer_retention,order_value,number_orders,employees,new_customers_impact,repeat_customers_impact,requests_for_quotes_impact,months_purchased_impact,contract_renewals_impact,customer_retention_impact,order_value_impact,number_orders_impact,employees_impact
2023,6582909507797,David Perez,Segment 3,Martinez PLC,4819646.876546316,439.2827433918999,53.3,15.0,8.522271810699985,5.0,11793.0,268400.8571590765,54192.0,9445.0,3239092.0,-590215.0,-848674.94,-973452.2,-2255100.2,464179.62,61481.074,3701212.5,-381836.75
2022,5763623041199,Melissa Boyd,Segment 5,Jackson PLC,14488037.517969549,93.40822391889256,671.2948678210432,271.0,5.654480696717506,467.0,625.0,1907274.5604150733,38748.0,12316.0,2319289.8,223339.89,-688180.0,-519972.97,1486191.4,-670730.1,8589.537,2599511.0,705210.3
2022,6996415992525,Amber Dickerson,Segment 4,"Galvan, Clark and Boyer",9299073.890175257,157.31993399897692,131.0515884956106,349.0,5.582041069764028,850.0,5487.0,2232014.89264627,1757.0,8988.0,1143882.1,-142061.3,-480592.1,-506733.1,1915766.9,-703358.94,1146289.4,-910639.94,-169208.58
2023,7358573799900,Joyce Fisher,Segment 5,Brown-Rosario,4788352.356089866,0.6,1688.776959950536,6.0,8.476209956899522,219.0,54.0,2546776.62686809,26809.0,509.0,-1507667.1,-567639.0,-109142.66,138273.64,478035.9,311078.84,317262.4,1909764.1,-518381.97
2022,4420745174440,Jessica Walker,Segment 6,Park-Collins,646463.27849532,0.6,53.3,313.0,6.923730914676323,5.0,54.0,160282.6,1757.0,509.0,-1108281.6,6411.936,-218137.17,573713.0,-1218963.1,18653.217,-731443.25,-519007.47,-962994.7
2022,9695026501610,Theresa Colon,Segment 5,Little PLC,3598890.523670011,20.753066070251347,53.3,10844.0,6.357842241567608,287.0,54.0,160282.6,1757.0,509.0,-1084144.5,339215.28,583711.9,-638949.25,1858070.8,180510.14,-774474.94,-582770.1,-949201.6
2023,2716064050377,Emily Vance,Segment 3,"Rhodes, Perkins and Peters",6823070.671353025,77.84845386236647,951.6271869224174,3401.0,5.89467104968191,3568.0,1182.0,1224209.6568229191,1757.0,41075.0,140264.56,-161177.31,1731954.2,-59488.492,-89709.02,1186.7578,219682.28,-664341.56,496105.12
2022,7820631157859,Karen Holmes,Segment 3,Moreno-Carroll,2230917.6022803467,121.70421116905872,53.3,6.0,6.257599654353622,19.0,54.0,1006852.5105614013,23740.0,7853.0,1802269.4,-142754.7,-468502.25,-487567.03,-158287.12,-288315.78,173208.11,754191.94,-408305.3
2023,4731787191556,Alicia Cook,Segment 4,Brooks-Mullins,2267324.7616999457,0.6,9463.74246453656,948.0,8.962240402769035,592.0,812.0,1300262.6369575595,18388.0,8699.0,-1726120.2,-166713.84,649493.56,-102224.984,562098.6,-262874.75,507.03027,54889.035,-382967.1
2022,1391471880239,Brandon Tate,Segment 2,Nelson-Marshall,992338.670146524,0.6,53.3,453.0,8.664448357258529,38.0,54.0,399096.5114374935,1757.0,509.0,-1315320.0,22194.988,-358011.16,-79240.24,-233806.7,67512.49,-173932.84,-749457.25,-957036.2
2022,8757883518826,Vincent Reynolds,Segment 5,Contreras-Barker,2663474.441947909,0.6,53.3,6.0,6.235751682358488,5.0,54.0,17077251.500148516,1757.0,6758.0,-1033061.4,289557.03,-141425.38,-255210.44,-1155114.0,-504752.0,4397865.0,-303751.28,-1154997.5
2022,6885248337064,Richard Mccoy,Segment 5,Montes and Sons,646463.27849532,0.6,1351.9908590727716,197.0,8.097292993177696,5.0,1734.0,2739998.8751627714,16001.0,509.0,-1271358.5,-107592.2,-376715.78,-166342.72,-1237019.5,-121900.28,37736.484,60330.555,-920702.7
2023,8593996573662,Andrew Smith,Segment 5,Madden-Williams,21028832.4899809,23.147937086392936,53.3,6.0,6.14527280918853,661.0,6351.0,160282.6,1757.0,30061.0,-934083.44,319703.88,-654207.5,436705.3,1442605.0,1224881.5,-1034754.4,-570835.25,2434232.0
2022,3088196354845,Tyler Williams,Segment 2,"Frazier, Miller and Johnson",2042747.871169764,0.6,421.0419368198215,978.0,8.962240402769035,92.0,2145.0,2086896.967233424,1757.0,15697.0,-1462172.0,-164923.69,120432.07,-133372.56,-275788.94,-237602.38,1259693.4,-639457.8,1388972.4
2022,409105678297,Tiffany Burke,Segment 2,Walsh-Coleman,12743541.629310235,20.71314320825866,469.23791893891087,1027.0,6.366306502040145,156.0,54.0,1051653.23972332,23383.0,80359.0,-1347719.6,264650.78,447528.72,-459699.6,109111.42,114222.5,253957.97,726186.44,278127.6
2022,6902140241814,William Ross,Segment 5,Higgins LLC,1308168.3769728928,11.177578032631189,1101.0562582372395,1054.0,5.498236005427698,5.0,1130.0,706988.7049406623,1757.0,8787.0,-1451670.9,-29292.87,362557.06,-142533.56,-1008160.25,-159374.47,94520.87,-527054.6,-70537.95
2022,9687568186479,Michael Bryant,Segment 4,Stark Group,646463.27849532,0.6,372.7341101282143,1018.0,6.159653419668935,104.0,54.0,160282.6,1757.0,509.0,-1358794.0,-235015.42,218648.7,686620.5,-113997.04,130663.19,-751791.1,-626429.7,-1070820.8
