distributor_id,distributor,segment,company,new_customers_impact,repeat_customers_impact,requests_for_quotes_impact,months_purchased_impact,contract_renewals_impact,customer_retention_impact,order_value_impact,number_orders_impact,employees_impact,revenue_2022,revenue_2023,new_customers_impact_scaled,repeat_customers_impact_scaled,requests_for_quotes_impact_scaled,months_purchased_impact_scaled,contract_renewals_impact_scaled,customer_retention_impact_scaled,order_value_impact_scaled,number_orders_impact_scaled,employees_impact_scaled
6582909507797,David Perez,Segment 3,Martinez PLC,-919802.25,813554.9,160494.94,453479.22,3741291.5,-1134909.8,-52891.54,-1101701.5,1087047.0,4819646.876546316,14488037.517969549,-2919030.046337805,2581849.7680887314,509337.23652443127,1439134.8459670395,11873141.435244668,-3601682.4218567074,-167853.4539230694,-3496294.74771902,3449788.007426184
5763623041199,Melissa Boyd,Segment 5,Jackson PLC,-2651549.2,-425577.7,371449.44,645006.75,-1437731.0,1014437.75,-829027.0,2820404.0,-349173.38,9299073.890175257,4788352.356089866,-14208794.771341287,-2280533.0491632978,1990477.385483115,3456382.3821722562,-7704335.252671916,5436043.934966923,-4442487.566177037,15113632.194552803,-1871107.1951968838
6996415992525,Amber Dickerson,Segment 4,"Galvan, Clark and Boyer",24137.125,332803.34,801849.06,-1212662.2,3077034.0,161856.92,-43031.688,-63762.656,13793.0625,646463.27849532,3598890.523670011,23047.44948734368,317778.8718545626,765649.4510727135,-1157916.340430926,2938120.7310455907,154549.85314076912,-41089.01255827652,-60884.075048118975,13170.371604275695
7358573799900,Joyce Fisher,Segment 5,Brown-Rosario,1662004.8,18422.61,-2200456.5,-428078.53,-68578.1,-289502.53,-46474.17,1418533.5,-904410.44,6823070.671353025,2230917.6022803467,9101755.742852485,100889.05604217491,-12050518.357015016,-2344317.1972099743,-375559.18372980715,-1585423.5144540155,-254509.85126005643,7768417.164876076,-4952887.955600742
4420745174440,Jessica Walker,Segment 6,Park-Collins,410800.25,188908.83,-1007504.75,22984.742,-795905.3,330387.25,-174439.88,-804346.3,-574069.1,2267324.7616999457,992338.670146524,217946.06146304237,100223.73466392435,-534521.8225150969,12194.330563016745,-422259.7811513669,175283.72712294615,-92547.37531798605,-426738.09599151387,-304566.7694594047
9695026501610,Theresa Colon,Segment 5,Little PLC,-238297.12,-397149.25,-235290.4,88867.72,-81905.5,382851.72,-4360128.5,364081.84,234294.81,2663474.441947909,646463.27849532,-113288.90805295693,-188808.84561183577,-111859.48385762796,42248.62719751454,-38938.720018123124,182011.64938537736,-2072850.046672379,173088.26018358587,111386.16498574165
2716064050377,Emily Vance,Segment 3,"Rhodes, Perkins and Peters",-528088.56,-484627.56,774639.56,-570077.9,-1718394.0,-1462483.9,2294447.8,-68622.56,-1045259.6,21028832.4899809,2042747.871169764,-3570038.1678354284,-3276228.698025346,5236797.065137361,-3853898.3761323118,-11616862.647585075,-9886832.422217814,15511159.829352707,-463909.24991150567,-7066270.67847754
7820631157859,Karen Holmes,Segment 3,Moreno-Carroll,-103951.25,-293943.66,-84971.66,317166.03,-1117271.6,-273596.97,-159437.1,-1253241.0,-348665.56,12743541.629310235,1308168.3769728928,-358273.8293688379,-1013093.4110879208,-292859.60959214566,1093130.621254317,-3850739.6034595924,-942967.3663057121,-549508.9339030765,-4319365.758108389,-1201695.4895662405
4731787191556,Alicia Cook,Segment 4,Brooks-Mullins,-259014.5,521476.88,-592165.56,-763380.75,345609.44,29151.078,1748455.2,90142.625,2892045.5,646463.27849532,22721001.42722681,-1425017.298659629,2869003.6930554197,-3257910.943741885,-4199883.712783148,1901435.7364331381,160380.17784146266,9619457.7821619,495936.73369813734,15911135.929329807
1391471880239,Brandon Tate,Segment 2,Nelson-Marshall,319165.12,-94189.99,503072.94,-226662.78,-1601585.2,-123524.375,1864274.5,-427864.88,-1662263.4,3366335.231941554,6831899.024448933,-763040.6745021887,225183.73791552216,-1202716.4132834042,541891.6678539176,3828973.3734411974,295314.6182425823,-4456994.770682931,1022913.4547913359,3974038.9278336596
